umur,pekerjaan,status_pernikahan,kredit,saldo,cicilan,pinjaman,membership
58,management,married,no,2143,yes,no,no
44,technician,single,no,29,yes,no,no
33,entrepreneur,married,no,2,yes,yes,no
47,blue-collar,married,no,1506,yes,no,no
33,unknown,single,no,1,no,no,no
35,management,married,no,231,yes,no,no
28,management,single,no,447,yes,yes,no
42,entrepreneur,divorced,yes,2,yes,no,no
58,retired,married,no,121,yes,no,no
43,technician,single,no,593,yes,no,no
41,admin.,divorced,no,270,yes,no,no
29,admin.,single,no,390,yes,no,no
53,technician,married,no,6,yes,no,no
58,technician,married,no,71,yes,no,no
57,services,married,no,162,yes,no,no
51,retired,married,no,229,yes,no,no
45,admin.,single,no,13,yes,no,no
57,blue-collar,married,no,52,yes,no,no
60,retired,married,no,60,yes,no,no
33,services,married,no,0,yes,no,no
28,blue-collar,married,no,723,yes,yes,no
56,management,married,no,779,yes,no,no
32,blue-collar,single,no,23,yes,yes,no
25,services,married,no,50,yes,no,no
40,retired,married,no,0,yes,yes,no
44,admin.,married,no,-372,yes,no,no
39,management,single,no,255,yes,no,no
52,entrepreneur,married,no,113,yes,yes,no
46,management,single,no,-246,yes,no,no
36,technician,single,no,265,yes,yes,no
57,technician,married,no,839,no,yes,no
49,management,married,no,378,yes,no,no
60,admin.,married,no,39,yes,yes,no
59,blue-collar,married,no,0,yes,no,no
51,management,married,no,10635,yes,no,no
57,technician,divorced,no,63,yes,no,no
25,blue-collar,married,no,-7,yes,no,no
53,technician,married,no,-3,no,no,no
36,admin.,divorced,no,506,yes,no,no
37,admin.,single,no,0,yes,no,no
44,services,divorced,no,2586,yes,no,no
50,management,married,no,49,yes,no,no
60,blue-collar,married,no,104,yes,no,no
54,retired,married,no,529,yes,no,no
58,retired,married,no,96,yes,no,no
36,admin.,single,no,-171,yes,no,no
58,self-employed,married,no,-364,yes,no,no
44,technician,married,no,0,yes,no,no
55,technician,divorced,no,0,no,no,no
29,management,single,no,0,yes,no,no
54,blue-collar,married,no,1291,yes,no,no
48,management,divorced,no,-244,yes,no,no
32,management,married,no,0,yes,no,no
42,admin.,single,no,-76,yes,no,no
24,technician,single,no,-103,yes,yes,no
38,entrepreneur,single,no,243,no,yes,no
38,management,single,no,424,yes,no,no
47,blue-collar,married,no,306,yes,no,no
40,blue-collar,single,no,24,yes,no,no
46,services,married,no,179,yes,no,no
32,admin.,married,no,0,yes,no,no
53,technician,divorced,no,989,yes,no,no
57,blue-collar,married,no,249,yes,no,no
33,services,married,no,790,yes,no,no
49,blue-collar,married,no,154,yes,no,no
51,management,married,no,6530,yes,no,no
60,retired,married,no,100,no,no,no
59,management,divorced,no,59,yes,no,no
55,technician,married,no,1205,yes,no,no
35,blue-collar,single,no,12223,yes,yes,no
57,blue-collar,married,no,5935,yes,yes,no
31,services,married,no,25,yes,yes,no
54,management,married,no,282,yes,yes,no
55,blue-collar,married,no,23,yes,no,no
43,technician,married,no,1937,yes,no,no
53,technician,married,no,384,yes,no,no
44,blue-collar,married,no,582,no,yes,no
55,services,divorced,no,91,no,no,no
49,services,divorced,no,0,yes,yes,no
55,services,divorced,yes,1,yes,no,no
45,admin.,single,no,206,yes,no,no
47,services,divorced,no,164,no,no,no
42,technician,single,no,690,yes,no,no
59,admin.,married,no,2343,yes,no,yes
46,self-employed,married,no,137,yes,yes,no
51,blue-collar,married,no,173,yes,no,no
56,admin.,married,no,45,no,no,yes
41,technician,married,no,1270,yes,no,yes
46,management,divorced,no,16,yes,yes,no
57,retired,married,no,486,yes,no,no
42,management,single,no,50,no,no,no
30,technician,married,no,152,yes,yes,no
60,admin.,married,no,290,yes,no,no
60,blue-collar,married,no,54,yes,no,no
57,entrepreneur,divorced,no,-37,no,no,no
36,management,married,no,101,yes,yes,no
55,blue-collar,married,no,383,no,no,no
60,retired,married,no,81,yes,no,no
39,technician,married,no,0,yes,no,no
46,management,married,no,229,yes,no,no
44,blue-collar,married,no,-674,yes,no,no
53,blue-collar,married,no,90,no,no,no
52,blue-collar,married,no,128,yes,no,no
59,blue-collar,married,no,179,yes,no,no
27,technician,single,no,0,yes,no,no
44,blue-collar,married,no,54,yes,no,no
47,technician,married,no,151,yes,no,no
34,admin.,married,no,61,no,yes,no
59,retired,single,no,30,yes,no,no
45,management,married,no,523,yes,no,no
29,services,divorced,no,31,yes,no,no
46,technician,divorced,no,79,no,no,no
56,self-employed,married,no,-34,yes,yes,no
36,blue-collar,married,no,448,yes,no,no
59,retired,divorced,no,81,yes,no,no
44,blue-collar,married,no,144,yes,no,no
41,admin.,married,no,351,yes,no,no
33,management,single,no,-67,yes,no,no
59,management,divorced,no,262,no,no,no
57,technician,married,no,0,no,no,no
56,technician,divorced,no,56,yes,no,no
51,blue-collar,married,no,26,yes,no,no
34,admin.,married,no,3,yes,no,no
43,services,married,no,41,yes,yes,no
52,technician,married,no,7,no,yes,no
33,technician,single,no,105,yes,no,no
29,admin.,single,no,818,yes,yes,no
34,services,married,no,-16,yes,yes,no
31,blue-collar,married,no,0,yes,no,no
55,services,married,no,2476,yes,no,yes
55,management,married,no,1185,no,no,no
32,admin.,single,no,217,yes,no,no
